openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Hendrikus Zomerweg,3,,,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.490721,52.685543
Hendrikus Zomerweg,5,,,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.490620,52.686245
Hendrikus Zomerweg,7,,,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.492896,52.684400
Hendrikus Zomerweg,9,a,,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.501807,52.684137
Hendrikus Zomerweg,9,,,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.497423,52.685049
Hendrikus Zomerweg,11,a,,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.502844,52.685801
Hendrikus Zomerweg,11,b,,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.504083,52.686134
Hendrikus Zomerweg,11,,1,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.503249,52.685943
Hendrikus Zomerweg,11,,2,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.503485,52.685940
Hendrikus Zomerweg,11,,3,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.503746,52.685939
Hendrikus Zomerweg,11,,4,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.503235,52.685684
Hendrikus Zomerweg,11,,5,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.503486,52.685679
Hendrikus Zomerweg,11,,6,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.503733,52.685684
Hendrikus Zomerweg,11,,7,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.504413,52.685648
Hendrikus Zomerweg,11,,8,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.504736,52.685647
Hendrikus Zomerweg,11,,,7915AB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.504381,52.685901
Alb van Daatselaarstraat,16,,,7915BA,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.506154,52.673607
Alb van Daatselaarstraat,18,a,,7915BA,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.502764,52.674637
Alb van Daatselaarstraat,18,b,,7915BA,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.502695,52.673803
Alb van Daatselaarstraat,18,,,7915BA,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.510828,52.674839
Alb van Daatselaarstraat,20,a,,7915BA,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.502878,52.675040
Alb van Daatselaarstraat,20,,,7915BA,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.502597,52.675043
Alb van Daatselaarstraat,21,a,,7915BA,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.501470,52.675485
Alb van Daatselaarstraat,22,,,7915BA,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.501777,52.676506
Alb van Daatselaarstraat,23,,,7915BA,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.501097,52.676531
Alb van Daatselaarstraat,24,,,7915BA,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.502324,52.678272
Alb van Daatselaarstraat,25,,,7915BA,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.501491,52.682737
Alteveer,16,,,7915BB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.495684,52.678828
Alteveer,54,,,7915BB,Alteveer gem Hoogeveen,Hoogeveen,Drenthe,VBO,6.488487,52.690211
