openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Kenninckweg,1,,,9947PA,Termunten,Delfzijl,Groningen,VBO,7.042045,53.296758
Kenninckweg,3,,,9947PA,Termunten,Delfzijl,Groningen,VBO,7.041130,53.297948
Kenninckweg,7,,,9947PA,Termunten,Delfzijl,Groningen,VBO,7.040751,53.298408
Kenninckweg,9,A,,9947PA,Termunten,Delfzijl,Groningen,VBO,7.040452,53.298640
Kenninckweg,9,,,9947PA,Termunten,Delfzijl,Groningen,VBO,7.040366,53.298363
Kenninckweg,11,,,9947PA,Termunten,Delfzijl,Groningen,VBO,7.040358,53.298938
Kenninckweg,13,,,9947PA,Termunten,Delfzijl,Groningen,VBO,7.040284,53.298966
Kenninckweg,2,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.041441,53.298231
Kenninckweg,4,A,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.041115,53.298721
Kenninckweg,4,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.041228,53.298539
Kenninckweg,6,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.041030,53.298857
Kenninckweg,8,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.040945,53.298984
Kenninckweg,10,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.040828,53.299066
Kenninckweg,12,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.040695,53.299131
Kenninckweg,14,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.040504,53.299214
Kenninckweg,16,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.040342,53.299298
Kenninckweg,18,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.040165,53.299372
Kenninckweg,20,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.040003,53.299455
Kenninckweg,22,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.039723,53.299585
Kenninckweg,24,,,9947PB,Termunten,Delfzijl,Groningen,VBO,7.038990,53.300808
Kerkpad,1,,,9947PC,Termunten,Delfzijl,Groningen,VBO,7.042218,53.298139
Kerkpad,6,,,9947PC,Termunten,Delfzijl,Groningen,VBO,7.042804,53.298185
Kerkpad,7,,,9947PC,Termunten,Delfzijl,Groningen,VBO,7.042732,53.298249
Kerkpad,8,A,,9947PC,Termunten,Delfzijl,Groningen,VBO,7.043853,53.298539
Kerkpad,8,,,9947PC,Termunten,Delfzijl,Groningen,VBO,7.042987,53.298246
Kerkpad,9,,,9947PC,Termunten,Delfzijl,Groningen,VBO,7.043504,53.298856
Kerkpad,10,,,9947PC,Termunten,Delfzijl,Groningen,VBO,7.043640,53.297670
Kerkpad,11,,,9947PC,Termunten,Delfzijl,Groningen,VBO,7.043281,53.298475
Kerkpad,13,,,9947PC,Termunten,Delfzijl,Groningen,VBO,7.043798,53.298657
Kerkpad,15,,,9947PC,Termunten,Delfzijl,Groningen,VBO,7.044510,53.298467
Houwerdastraat,1,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.042755,53.296505
Houwerdastraat,3,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.043177,53.296562
Houwerdastraat,5,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.043359,53.296605
Houwerdastraat,9,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.043616,53.296664
Houwerdastraat,11,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.043936,53.296786
Houwerdastraat,13,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.044149,53.296864
Houwerdastraat,15,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.044377,53.296959
Houwerdastraat,17,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.044575,53.297037
Houwerdastraat,19,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.044670,53.297162
Houwerdastraat,21,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.045101,53.297057
Houwerdastraat,23,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.045863,53.296588
Houwerdastraat,25,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.046495,53.296633
Houwerdastraat,27,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.046610,53.296515
Houwerdastraat,29,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.046851,53.296925
Houwerdastraat,31,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.046943,53.296969
Houwerdastraat,33,,,9947PD,Termunten,Delfzijl,Groningen,VBO,7.047134,53.296876
