openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Batendijk,1,,,7273PA,Haarlo,Berkelland,Gelderland,VBO,6.546402,52.107216
Batendijk,2,a,,7273PA,Haarlo,Berkelland,Gelderland,VBO,6.547362,52.107632
Batendijk,2,b,,7273PA,Haarlo,Berkelland,Gelderland,VBO,6.545949,52.108171
Batendijk,2,,,7273PA,Haarlo,Berkelland,Gelderland,VBO,6.542122,52.108060
Batendijk,3,,,7273PA,Haarlo,Berkelland,Gelderland,VBO,6.544178,52.107411
Batendijk,4,,,7273PA,Haarlo,Berkelland,Gelderland,VBO,6.541002,52.108274
Batendijk,7,,,7273PA,Haarlo,Berkelland,Gelderland,VBO,6.543685,52.106993
Batendijk,9,,,7273PA,Haarlo,Berkelland,Gelderland,VBO,6.543546,52.107246
Hogebrugweg,1,,,7273PB,Haarlo,Berkelland,Gelderland,VBO,6.550911,52.107524
Hogebrugweg,2,a,,7273PB,Haarlo,Berkelland,Gelderland,VBO,6.546637,52.113211
Hogebrugweg,2,,,7273PB,Haarlo,Berkelland,Gelderland,VBO,6.546484,52.113590
Hogebrugweg,4,,58,7273PB,Haarlo,Berkelland,Gelderland,VBO,6.547383,52.112638
Hogebrugweg,4,,59,7273PB,Haarlo,Berkelland,Gelderland,VBO,6.547364,52.112732
Hogebrugweg,4,,60,7273PB,Haarlo,Berkelland,Gelderland,VBO,6.547340,52.112824
Hogebrugweg,4,,61,7273PB,Haarlo,Berkelland,Gelderland,VBO,6.547321,52.112919
Hogebrugweg,4,,,7273PB,Haarlo,Berkelland,Gelderland,VBO,6.546615,52.113544
Het Aamschot,2,,,7273PC,Haarlo,Berkelland,Gelderland,VBO,6.546471,52.104620
Het Aamschot,3,,,7273PC,Haarlo,Berkelland,Gelderland,VBO,6.545641,52.104718
Het Aamschot,5,,,7273PC,Haarlo,Berkelland,Gelderland,VBO,6.544415,52.105269
Braakmansdijk,1,a,,7273PD,Haarlo,Berkelland,Gelderland,VBO,6.550066,52.101447
Braakmansdijk,1,,,7273PD,Haarlo,Berkelland,Gelderland,VBO,6.550377,52.101058
Braakmansdijk,2,,,7273PD,Haarlo,Berkelland,Gelderland,VBO,6.543761,52.101446
Braakmansdijk,4,,,7273PD,Haarlo,Berkelland,Gelderland,VBO,6.543758,52.101321
Waterhoekdijk,6,,,7273PE,Haarlo,Berkelland,Gelderland,VBO,6.566649,52.108105
Waterhoekdijk,7,a,,7273PE,Haarlo,Berkelland,Gelderland,VBO,6.568321,52.108951
Waterhoekdijk,7,b,,7273PE,Haarlo,Berkelland,Gelderland,VBO,6.567477,52.108751
Waterhoekdijk,7,,,7273PE,Haarlo,Berkelland,Gelderland,VBO,6.568278,52.108997
Waterhoekdijk,8,,,7273PE,Haarlo,Berkelland,Gelderland,VBO,6.562091,52.104097
Waterhoekdijk,14,,,7273PE,Haarlo,Berkelland,Gelderland,VBO,6.552659,52.098437
Groenloseweg,2,,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.547026,52.105783
Groenloseweg,4,,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.549007,52.103345
Groenloseweg,10,a,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.560286,52.100420
Groenloseweg,10,,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.560270,52.100357
Groenloseweg,11,,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.574287,52.099453
Groenloseweg,12,,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.563474,52.099534
Groenloseweg,13,,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.573175,52.100453
Groenloseweg,14,,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.563472,52.099462
Groenloseweg,15,,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.573233,52.100416
Groenloseweg,16,,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.566255,52.098707
Groenloseweg,17,,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.573086,52.100789
Groenloseweg,20,,,7273PG,Haarlo,Berkelland,Gelderland,VBO,6.574078,52.096534
Oude Eibergseweg,1,a,T01,7273PJ,Haarlo,Berkelland,Gelderland,VBO,6.581622,52.097387
Oude Eibergseweg,1,,,7273PJ,Haarlo,Berkelland,Gelderland,VBO,6.579456,52.097351
Oude Eibergseweg,2,,,7273PJ,Haarlo,Berkelland,Gelderland,VBO,6.588256,52.097714
Oude Eibergseweg,3,,,7273PJ,Haarlo,Berkelland,Gelderland,VBO,6.582012,52.097539
Oude Eibergseweg,4,,,7273PJ,Haarlo,Berkelland,Gelderland,VBO,6.586916,52.096207
Oude Eibergseweg,5,,,7273PJ,Haarlo,Berkelland,Gelderland,VBO,6.586845,52.098022
Oude Eibergseweg,7,,,7273PJ,Haarlo,Berkelland,Gelderland,VBO,6.587996,52.097966
Oude Eibergseweg,13,,,7273PJ,Haarlo,Berkelland,Gelderland,VBO,6.590614,52.098155
Kanaalweg,2,,,7273PK,Haarlo,Berkelland,Gelderland,VBO,6.577112,52.104117
Kanaalweg,4,,,7273PK,Haarlo,Berkelland,Gelderland,VBO,6.577748,52.103876
Kanaalweg,6,,,7273PK,Haarlo,Berkelland,Gelderland,VBO,6.578627,52.101261
Holtmaatsdijk,1,,,7273PL,Haarlo,Berkelland,Gelderland,VBO,6.569379,52.107008
Holtmaatsdijk,3,a,,7273PL,Haarlo,Berkelland,Gelderland,VBO,6.570722,52.107579
Holtmaatsdijk,3,,,7273PL,Haarlo,Berkelland,Gelderland,VBO,6.570517,52.107545
Holtmaatsdijk,5,,,7273PL,Haarlo,Berkelland,Gelderland,VBO,6.571894,52.107180
Holtmaatsdijk,11,a,,7273PL,Haarlo,Berkelland,Gelderland,VBO,6.569956,52.105672
Holtmaatsdijk,11,,,7273PL,Haarlo,Berkelland,Gelderland,VBO,6.569958,52.105735
Holtmaatsdijk,13,,,7273PL,Haarlo,Berkelland,Gelderland,VBO,6.569836,52.104451
Holtmaatsdijk,15,,,7273PL,Haarlo,Berkelland,Gelderland,VBO,6.569939,52.104458
Kuipersdijk,1,,,7273PM,Haarlo,Berkelland,Gelderland,VBO,6.577340,52.111584
Kuipersdijk,2,,,7273PM,Haarlo,Berkelland,Gelderland,VBO,6.576379,52.110587
Kuipersdijk,8,,,7273PM,Haarlo,Berkelland,Gelderland,VBO,6.576029,52.109512
Kuipersdijk,10,a,,7273PM,Haarlo,Berkelland,Gelderland,VBO,6.575542,52.108350
Kuipersdijk,10,,,7273PM,Haarlo,Berkelland,Gelderland,VBO,6.575631,52.108257
Kuipersdijk,12,,,7273PM,Haarlo,Berkelland,Gelderland,VBO,6.577171,52.108008
Hupselsedijk,1,,,7273PN,Haarlo,Berkelland,Gelderland,VBO,6.593215,52.107450
Hupselsedijk,2,,,7273PN,Haarlo,Berkelland,Gelderland,VBO,6.594619,52.105395
Hupselsedijk,4,,,7273PN,Haarlo,Berkelland,Gelderland,VBO,6.595393,52.104847
Hupselsedijk,6,,,7273PN,Haarlo,Berkelland,Gelderland,VBO,6.596539,52.104584
Veldweg,1,,10,7273PP,Haarlo,Berkelland,Gelderland,VBO,6.590364,52.110253
Veldweg,1,,11,7273PP,Haarlo,Berkelland,Gelderland,VBO,6.590313,52.110161
Veldweg,1,,,7273PP,Haarlo,Berkelland,Gelderland,VBO,6.590624,52.110973
Veldweg,3,,,7273PP,Haarlo,Berkelland,Gelderland,VBO,6.590711,52.110963
Veldweg,5,,,7273PP,Haarlo,Berkelland,Gelderland,VBO,6.591333,52.104799
Veldweg,7,,,7273PP,Haarlo,Berkelland,Gelderland,VBO,6.591316,52.104773
Veldweg,9,,,7273PP,Haarlo,Berkelland,Gelderland,VBO,6.587171,52.102019
Veldweg,11,,,7273PP,Haarlo,Berkelland,Gelderland,VBO,6.587155,52.101965
Veldweg,13,,,7273PP,Haarlo,Berkelland,Gelderland,VBO,6.586565,52.100642
Veldweg,15,,,7273PP,Haarlo,Berkelland,Gelderland,VBO,6.583474,52.095863
Veldweg,17,,,7273PP,Haarlo,Berkelland,Gelderland,VBO,6.583258,52.095434
Bussinkdijk,1,,,7273PS,Haarlo,Berkelland,Gelderland,VBO,6.586960,52.113176
Bussinkdijk,2,,,7273PS,Haarlo,Berkelland,Gelderland,VBO,6.587499,52.112605
Bussinkdijk,3,,,7273PS,Haarlo,Berkelland,Gelderland,VBO,6.586747,52.113943
Bussinkdijk,4,,,7273PS,Haarlo,Berkelland,Gelderland,VBO,6.587948,52.113801
Bussinkdijk,5,,,7273PS,Haarlo,Berkelland,Gelderland,VBO,6.587402,52.113864
Bussinkdijk,7,a,,7273PS,Haarlo,Berkelland,Gelderland,VBO,6.587654,52.114273
Bussinkdijk,7,,,7273PS,Haarlo,Berkelland,Gelderland,VBO,6.587769,52.114251
