openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
It Pypke,1,,,9008RA,Reduzum,Leeuwarden,Friesland,VBO,5.785050,53.116116
It Pypke,4,,,9008RA,Reduzum,Leeuwarden,Friesland,VBO,5.784908,53.116467
It Pypke,6,,,9008RA,Reduzum,Leeuwarden,Friesland,VBO,5.784644,53.116286
It Pypke,8,,,9008RA,Reduzum,Leeuwarden,Friesland,VBO,5.784414,53.116111
It Pypke,10,,,9008RA,Reduzum,Leeuwarden,Friesland,VBO,5.784289,53.115939
It Pypke,12,,,9008RA,Reduzum,Leeuwarden,Friesland,VBO,5.784187,53.115778
Suderom,1,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.786424,53.115474
Suderom,2,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.786314,53.115868
Suderom,3,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.786211,53.115539
Suderom,4,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.786192,53.115890
Suderom,5,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.785918,53.115591
Suderom,6,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.786014,53.115926
Suderom,7,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.785647,53.115634
Suderom,8,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.785879,53.115947
Suderom,9,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.785374,53.115682
Suderom,10,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.785710,53.115984
Suderom,11,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.785091,53.115737
Suderom,12,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.785583,53.116008
Suderom,13,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.784806,53.115776
Suderom,14,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.785414,53.116040
Suderom,16,,,9008RB,Reduzum,Leeuwarden,Friesland,VBO,5.785288,53.116062
Op 'e iisbaan,1,,,9008RC,Reduzum,Leeuwarden,Friesland,VBO,5.786827,53.115840
Op 'e iisbaan,3,,,9008RC,Reduzum,Leeuwarden,Friesland,VBO,5.786838,53.115709
Op 'e iisbaan,5,,,9008RC,Reduzum,Leeuwarden,Friesland,VBO,5.786837,53.115572
Op 'e iisbaan,7,,,9008RC,Reduzum,Leeuwarden,Friesland,VBO,5.786836,53.115447
Op 'e iisbaan,9,,,9008RC,Reduzum,Leeuwarden,Friesland,VBO,5.786826,53.115289
De Terp,1,,,9008RD,Reduzum,Leeuwarden,Friesland,VBO,5.785943,53.114832
De Terp,2,,,9008RD,Reduzum,Leeuwarden,Friesland,VBO,5.784002,53.115322
De Terp,3,,,9008RD,Reduzum,Leeuwarden,Friesland,VBO,5.785939,53.114770
De Terp,4,,,9008RD,Reduzum,Leeuwarden,Friesland,VBO,5.784015,53.115149
