openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Lage Naarderweg,2,A,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176466,52.230475
Lage Naarderweg,2,B,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176445,52.230512
Lage Naarderweg,2,C,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176427,52.230460
Lage Naarderweg,2,D,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176489,52.230509
Lage Naarderweg,2,,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176432,52.230479
Lage Naarderweg,4,,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176527,52.230547
Lage Naarderweg,6,,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176517,52.230619
Lage Naarderweg,8,,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176577,52.230674
Lage Naarderweg,10,A,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176561,52.230895
Lage Naarderweg,10,,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176568,52.230846
Lage Naarderweg,12,A,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176581,52.230993
Lage Naarderweg,12,,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176571,52.230943
Lage Naarderweg,14,A,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176599,52.231110
Lage Naarderweg,14,,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176588,52.231062
Lage Naarderweg,16,A,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176599,52.231209
Lage Naarderweg,16,,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.176588,52.231160
Lage Naarderweg,18,A,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.177070,52.231119
Lage Naarderweg,18,,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.177081,52.231170
Lage Naarderweg,20,A,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.177050,52.231023
Lage Naarderweg,20,,,1211AA,Hilversum,Hilversum,Noord-Holland,VBO,5.177060,52.231071
Lage Naarderweg,22,A,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177029,52.230927
Lage Naarderweg,22,B,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177019,52.230879
Lage Naarderweg,22,,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177040,52.230975
Lage Naarderweg,24,A,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177251,52.230784
Lage Naarderweg,24,,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177178,52.230798
Lage Naarderweg,26,A,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177411,52.230742
Lage Naarderweg,26,,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177326,52.230770
Lage Naarderweg,28,A,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177633,52.230776
Lage Naarderweg,28,B,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177730,52.230796
Lage Naarderweg,28,,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177563,52.230758
Lage Naarderweg,30,A,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177212,52.231348
Lage Naarderweg,30,B,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177134,52.231355
Lage Naarderweg,30,,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177317,52.231342
Lage Naarderweg,32,A,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.176979,52.231367
Lage Naarderweg,32,,,1211AB,Hilversum,Hilversum,Noord-Holland,VBO,5.177056,52.231361
Lage Naarderweg,34,A,,1211AC,Hilversum,Hilversum,Noord-Holland,VBO,5.176594,52.231427
Lage Naarderweg,34,,,1211AC,Hilversum,Hilversum,Noord-Holland,VBO,5.176583,52.231380
