openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Dorus Rijkersstraat,1,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.366409,51.631963
Dorus Rijkersstraat,2,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.366735,51.630968
Dorus Rijkersstraat,3,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.366511,51.631937
Dorus Rijkersstraat,4,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.368038,51.630845
Dorus Rijkersstraat,5,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.366613,51.631911
Dorus Rijkersstraat,7,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.366947,51.631842
Dorus Rijkersstraat,9,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.367034,51.631816
Dorus Rijkersstraat,11,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.367107,51.631789
Dorus Rijkersstraat,13,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.367194,51.631772
Dorus Rijkersstraat,15,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.367281,51.631746
Dorus Rijkersstraat,17,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.367368,51.631729
Dorus Rijkersstraat,19,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.367441,51.631711
Dorus Rijkersstraat,21,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.367528,51.631685
Dorus Rijkersstraat,23,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.367659,51.631641
Dorus Rijkersstraat,25,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.367760,51.631624
Dorus Rijkersstraat,27,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.367848,51.631598
Dorus Rijkersstraat,29,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.367935,51.631572
Dorus Rijkersstraat,31,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.368080,51.631537
Dorus Rijkersstraat,33,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.368167,51.631511
Dorus Rijkersstraat,35,,,4671AA,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.368269,51.631485
Dorus Rijkersstraat,37,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.368807,51.631346
Dorus Rijkersstraat,39,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.368894,51.631320
Dorus Rijkersstraat,41,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.368981,51.631302
Dorus Rijkersstraat,43,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.369141,51.631259
Dorus Rijkersstraat,45,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.369228,51.631233
Dorus Rijkersstraat,47,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.369315,51.631215
Dorus Rijkersstraat,49,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.369490,51.631163
Dorus Rijkersstraat,51,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.369577,51.631146
Dorus Rijkersstraat,53,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.369664,51.631120
Dorus Rijkersstraat,55,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.369824,51.631076
Dorus Rijkersstraat,57,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.369911,51.631059
Dorus Rijkersstraat,59,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.369998,51.631033
Dorus Rijkersstraat,61,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.370085,51.631015
Dorus Rijkersstraat,63,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.370507,51.630893
Dorus Rijkersstraat,65,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.370580,51.630867
Dorus Rijkersstraat,67,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.370681,51.630841
Dorus Rijkersstraat,69,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.370768,51.630823
Dorus Rijkersstraat,71,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.370885,51.630780
Dorus Rijkersstraat,73,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.370957,51.630762
Dorus Rijkersstraat,75,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.371045,51.630736
Dorus Rijkersstraat,77,,,4671AB,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.371161,51.630710
Karel Doormanstraat,1,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.375080,51.633063
Karel Doormanstraat,3,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.375052,51.633027
Karel Doormanstraat,5,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.375024,51.632982
Karel Doormanstraat,7,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374910,51.632945
Karel Doormanstraat,9,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374867,51.632900
Karel Doormanstraat,11,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374840,51.632854
Karel Doormanstraat,13,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374797,51.632800
Karel Doormanstraat,15,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374697,51.632781
Karel Doormanstraat,17,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374654,51.632736
Karel Doormanstraat,19,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374627,51.632682
Karel Doormanstraat,21,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374599,51.632628
Karel Doormanstraat,23,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374198,51.632453
Karel Doormanstraat,25,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374142,51.632399
Karel Doormanstraat,27,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374114,51.632345
Karel Doormanstraat,29,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373999,51.632317
Karel Doormanstraat,31,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373971,51.632272
Karel Doormanstraat,33,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373943,51.632235
Karel Doormanstraat,35,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373916,51.632172
Karel Doormanstraat,37,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373417,51.631853
Karel Doormanstraat,39,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373390,51.631808
Karel Doormanstraat,41,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373362,51.631754
Karel Doormanstraat,43,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373291,51.631708
Karel Doormanstraat,45,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373263,51.631645
Karel Doormanstraat,47,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373235,51.631600
Karel Doormanstraat,49,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373207,51.631564
Karel Doormanstraat,51,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372790,51.631470
Karel Doormanstraat,53,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372692,51.631371
Karel Doormanstraat,55,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372649,51.631316
Karel Doormanstraat,57,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372565,51.631226
Karel Doormanstraat,61,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372467,51.631063
Karel Doormanstraat,63,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372425,51.631009
Karel Doormanstraat,65,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372326,51.630909
Karel Doormanstraat,67,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372256,51.630818
Karel Doormanstraat,69,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372200,51.630755
Karel Doormanstraat,71,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372115,51.630664
Karel Doormanstraat,73,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372059,51.630592
Karel Doormanstraat,75,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372017,51.630529
Karel Doormanstraat,77,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.371933,51.630429
Karel Doormanstraat,79,,,4671AC,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.371905,51.630366
Karel Doormanstraat,2,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.375139,51.633736
Karel Doormanstraat,6,a,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374329,51.633093
Karel Doormanstraat,6,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374489,51.633013
Karel Doormanstraat,8,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374203,51.632876
Karel Doormanstraat,10,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.374020,51.632685
Karel Doormanstraat,16,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373707,51.632467
Karel Doormanstraat,18,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373636,51.632403
Karel Doormanstraat,20,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373124,51.632075
Karel Doormanstraat,22,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373067,51.632030
Karel Doormanstraat,24,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.373010,51.631994
Karel Doormanstraat,26,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372939,51.631939
Karel Doormanstraat,28,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372882,51.631885
Karel Doormanstraat,30,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372811,51.631848
Karel Doormanstraat,32,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372739,51.631811
Karel Doormanstraat,34,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372074,51.631194
Karel Doormanstraat,36,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.372004,51.631131
Karel Doormanstraat,38,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.371905,51.631040
Karel Doormanstraat,40,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.371848,51.630986
Karel Doormanstraat,42,,,4671AD,Dinteloord,Steenbergen,Noord-Brabant,VBO,4.371749,51.630904
