openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
De Greide,1,,,8757JP,Gaast,Súdwest-Fryslân,Friesland,VBO,5.410283,53.016423
De Greide,2,,,8757JP,Gaast,Súdwest-Fryslân,Friesland,VBO,5.410024,53.016627
De Greide,3,A,,8757JP,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409890,53.016118
De Greide,3,,,8757JP,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409940,53.016160
De Greide,4,,,8757JP,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409981,53.016595
De Greide,5,,,8757JP,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409811,53.015873
De Greide,6,,,8757JP,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409928,53.016559
De Greide,7,,,8757JP,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409592,53.015996
De Greide,8,,,8757JP,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409622,53.016397
De Greide,10,,,8757JP,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409445,53.016521
De Greide,12,,,8757JP,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409390,53.016250
Boerestreek,1,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409644,53.017344
Boerestreek,7,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.410696,53.017287
Boerestreek,13,A,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.411470,53.017210
Boerestreek,13,B,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.411046,53.017447
Boerestreek,13,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.411057,53.017194
Boerestreek,15,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.412070,53.017188
Boerestreek,17,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.412775,53.017224
Boerestreek,19,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.412893,53.017676
Boerestreek,23,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.413058,53.017665
Boerestreek,25,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.413440,53.017425
Boerestreek,27,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.414476,53.018261
Boerestreek,29,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.415395,53.018534
Boerestreek,33,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.416637,53.019470
Boerestreek,35,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.419869,53.020440
Boerestreek,37,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.425994,53.021248
Boerestreek,39,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.427050,53.027491
Boerestreek,41,A,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.433838,53.022128
Boerestreek,41,,,8757JR,Gaast,Súdwest-Fryslân,Friesland,VBO,5.432716,53.023365
Boerestreek,2,,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409555,53.016835
Boerestreek,4,,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409952,53.016925
Boerestreek,8,,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.412311,53.016706
Boerestreek,10,A,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.413166,53.016862
Boerestreek,10,B,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.414307,53.017258
Boerestreek,10,,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.412758,53.016807
Boerestreek,12,,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.415231,53.018051
Boerestreek,14,,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.417909,53.018633
Boerestreek,16,A,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.418636,53.019743
Boerestreek,16,,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.417641,53.019327
Boerestreek,18,,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.425026,53.020568
Boerestreek,20,,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.428699,53.020663
Boerestreek,22,,,8757JS,Gaast,Súdwest-Fryslân,Friesland,VBO,5.438496,53.023105
Zandlaan,2,,,8757JT,Gaast,Súdwest-Fryslân,Friesland,VBO,5.414934,53.019012
Zandlaan,3,,,8757JT,Gaast,Súdwest-Fryslân,Friesland,VBO,5.414375,53.019102
Zeedijk,1,,,8757JV,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408949,53.017339
Zeedijk,2,,,8757JV,Gaast,Súdwest-Fryslân,Friesland,VBO,5.411769,53.011518
Zeedijk,3,,,8757JV,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408809,53.016998
Zeedijk,5,A,,8757JV,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408315,53.016353
Zeedijk,5,,,8757JV,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408652,53.016832
Zeedijk,9,,,8757JV,Gaast,Súdwest-Fryslân,Friesland,VBO,5.407814,53.015540
Buren,1,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408589,53.016782
Buren,3,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408561,53.016579
Buren,5,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408652,53.016832
Buren,7,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408660,53.016692
Buren,9,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408761,53.016772
Buren,13,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408984,53.016700
Buren,15,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408697,53.016400
Buren,17,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408809,53.016364
Buren,19,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408679,53.016205
Buren,21,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408551,53.016051
Buren,27,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408622,53.015861
Buren,29,,,8757JW,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408707,53.015670
Buren,2,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408256,53.016651
Buren,4,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408399,53.016415
Buren,6,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408458,53.016255
Buren,8,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408350,53.016190
Buren,10,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408219,53.016238
Buren,12,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408187,53.016103
Buren,14,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408058,53.016068
Buren,16,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408052,53.015995
Buren,18,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.407937,53.015958
Buren,22,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408022,53.015737
Buren,23,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408497,53.015992
Buren,24,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.407998,53.015402
Buren,34,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408273,53.015312
Buren,40,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408466,53.015321
Buren,44,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408539,53.015404
Buren,46,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408331,53.015566
Buren,48,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408454,53.015598
Buren,50,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408592,53.015526
Buren,52,,,8757JX,Gaast,Súdwest-Fryslân,Friesland,VBO,5.408701,53.015485
Sielânsreed,1,,,8757JZ,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409247,53.015449
Sielânsreed,2,,,8757JZ,Gaast,Súdwest-Fryslân,Friesland,VBO,5.409124,53.015168
Sielânsreed,3,,,8757JZ,Gaast,Súdwest-Fryslân,Friesland,VBO,5.410127,53.015602
