openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Adriaen Brouwerstraat,1,,,3042AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.426639,51.935952
Adriaen Brouwerstraat,2,,,3042AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.426869,51.936041
Adriaen Brouwerstraat,12,,,3042AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427042,51.935873
Adriaen Brouwerstraat,14,,,3042AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427153,51.935775
Adriaen Brouwerstraat,15,,,3042AA,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.426926,51.935692
Baanweg,2,,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427018,51.935040
Baanweg,4,,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427210,51.935107
Baanweg,6,,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427250,51.935125
Baanweg,7,,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427746,51.935000
Baanweg,9,,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427846,51.935014
Baanweg,10,,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427518,51.935193
Baanweg,11,,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427920,51.934974
Baanweg,13,A,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,13,B,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,13,C,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,13,D,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,13,E,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,13,F,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,13,G,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,13,H,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,13,J,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,13,K,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,13,L,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,15,A,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,15,B,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,15,C,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,15,D,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,15,E,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,15,F,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,15,G,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,15,H,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,15,J,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,15,K,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,15,L,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,17,A,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,17,B,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,17,C,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,17,D,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,17,E,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,17,F,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,17,G,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,17,H,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,17,J,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935078
Baanweg,17,K,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935079
Baanweg,17,L,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428507,51.935079
Baanweg,18,,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428301,51.935394
Baanweg,19,,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.429639,51.935247
Baanweg,20,,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.429841,51.935472
Baanweg,21,,,3042AB,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.430004,51.935228
Burgemeester Baumannlaan,145,,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427716,51.936625
Burgemeester Baumannlaan,147,A,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427716,51.936625
Burgemeester Baumannlaan,147,B,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427739,51.936564
Burgemeester Baumannlaan,147,C,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427739,51.936564
Burgemeester Baumannlaan,149,A,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427763,51.936501
Burgemeester Baumannlaan,149,B,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427763,51.936501
Burgemeester Baumannlaan,149,C,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427763,51.936501
Burgemeester Baumannlaan,151,B,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427788,51.936441
Burgemeester Baumannlaan,151,C,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427788,51.936441
Burgemeester Baumannlaan,153,A,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427812,51.936380
Burgemeester Baumannlaan,153,B,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427812,51.936380
Burgemeester Baumannlaan,153,C,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427812,51.936380
Burgemeester Baumannlaan,155,A,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427838,51.936319
Burgemeester Baumannlaan,155,B,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427838,51.936319
Burgemeester Baumannlaan,155,C,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427838,51.936319
Burgemeester Baumannlaan,157,A,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427862,51.936258
Burgemeester Baumannlaan,157,B,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427862,51.936258
Burgemeester Baumannlaan,157,C,,3042AC,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427862,51.936258
Burgemeester Baumannlaan,159,A,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427885,51.936196
Burgemeester Baumannlaan,159,B,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427885,51.936196
Burgemeester Baumannlaan,159,C,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427885,51.936196
Burgemeester Baumannlaan,161,A,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427909,51.936135
Burgemeester Baumannlaan,161,B,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427909,51.936135
Burgemeester Baumannlaan,161,C,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427909,51.936135
Burgemeester Baumannlaan,163,A,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427935,51.936074
Burgemeester Baumannlaan,163,B,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427935,51.936074
Burgemeester Baumannlaan,163,C,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427935,51.936074
Burgemeester Baumannlaan,165,A,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427960,51.936013
Burgemeester Baumannlaan,165,B,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427960,51.936013
Burgemeester Baumannlaan,165,C,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427960,51.936013
Burgemeester Baumannlaan,167,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427960,51.936013
Burgemeester Baumannlaan,169,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428301,51.935394
Burgemeester Baumannlaan,171,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428301,51.935394
Burgemeester Baumannlaan,181,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428332,51.935038
Burgemeester Baumannlaan,183,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428388,51.934957
Burgemeester Baumannlaan,185,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428414,51.934876
Burgemeester Baumannlaan,187,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428481,51.934695
Burgemeester Baumannlaan,189,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428515,51.934607
Burgemeester Baumannlaan,191,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428533,51.934565
Burgemeester Baumannlaan,193,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428554,51.934517
Burgemeester Baumannlaan,195,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428604,51.934391
Burgemeester Baumannlaan,197,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428637,51.934304
Burgemeester Baumannlaan,199,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428660,51.934243
Burgemeester Baumannlaan,201,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428678,51.934196
Burgemeester Baumannlaan,203,,,3042AD,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.428715,51.934120
Burgemeester Baumannlaan,130,A,,3042AE,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427351,51.936416
Burgemeester Baumannlaan,130,B,,3042AE,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427351,51.936416
Burgemeester Baumannlaan,130,C,,3042AE,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427351,51.936416
Burgemeester Baumannlaan,130,D,,3042AE,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427351,51.936416
Burgemeester Baumannlaan,132,A,,3042AE,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427376,51.936357
Burgemeester Baumannlaan,132,B,,3042AE,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427376,51.936357
Burgemeester Baumannlaan,132,C,,3042AE,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427376,51.936357
Burgemeester Baumannlaan,132,D,,3042AE,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427376,51.936357
Burgemeester Baumannlaan,134,A,,3042AE,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427402,51.936296
Burgemeester Baumannlaan,134,B,,3042AE,Rotterdam,Rotterdam,Zuid-Holland,VBO,4.427402,51.936296
