openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Winia's Reed,1,,,9124EP,Jouswier,Dongeradeel,Friesland,VBO,6.081439,53.345222
Winia's Reed,2,,,9124EP,Jouswier,Dongeradeel,Friesland,VBO,6.084128,53.345947
Winia's Reed,4,,,9124EP,Jouswier,Dongeradeel,Friesland,VBO,6.077355,53.342208
Humaldawei,38,,,9124ER,Jouswier,Dongeradeel,Friesland,VBO,6.084359,53.346111
Humaldawei,40,,,9124ER,Jouswier,Dongeradeel,Friesland,VBO,6.076950,53.351708
Humaldawei,43,,,9124ER,Jouswier,Dongeradeel,Friesland,VBO,6.086375,53.348474
Humaldawei,45,,,9124ER,Jouswier,Dongeradeel,Friesland,VBO,6.083347,53.347965
Humaldawei,47,,,9124ER,Jouswier,Dongeradeel,Friesland,VBO,6.082882,53.348284
Humaldawei,49,,,9124ER,Jouswier,Dongeradeel,Friesland,VBO,6.082773,53.348350
Bergsmawei,1,,,9124ES,Jouswier,Dongeradeel,Friesland,VBO,6.074658,53.350872
Bergsmawei,2,,,9124ES,Jouswier,Dongeradeel,Friesland,VBO,6.074367,53.350153
Bergsmawei,3,,,9124ES,Jouswier,Dongeradeel,Friesland,VBO,6.073360,53.350054
Bergsmawei,4,,,9124ES,Jouswier,Dongeradeel,Friesland,VBO,6.073838,53.349927
Bergsmawei,6,A,,9124ES,Jouswier,Dongeradeel,Friesland,VBO,6.060568,53.344401
Bergsmawei,6,,,9124ES,Jouswier,Dongeradeel,Friesland,VBO,6.060642,53.344625
Bergsmawei,7,,,9124ES,Jouswier,Dongeradeel,Friesland,VBO,6.072905,53.350019
Bergsmawei,9,,,9124ES,Jouswier,Dongeradeel,Friesland,VBO,6.064673,53.346957
