openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Amsterdamsevaart,8,A,RD,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.647682,52.380641
Amsterdamsevaart,8,B,RD,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.647679,52.380672
Amsterdamsevaart,8,,,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.647627,52.380681
Amsterdamsevaart,10,A,RD,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.647880,52.380661
Amsterdamsevaart,10,A,,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.647876,52.380692
Amsterdamsevaart,10,,RD,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.647804,52.380652
Amsterdamsevaart,10,,ZW,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.647799,52.380692
Amsterdamsevaart,12,,,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.647941,52.380695
Amsterdamsevaart,14,,,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.647996,52.380702
Amsterdamsevaart,16,,RD,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.648070,52.380687
Amsterdamsevaart,16,,,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.648067,52.380707
Amsterdamsevaart,18,,RD,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.648210,52.380716
Amsterdamsevaart,20,,RD,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.648376,52.380700
Amsterdamsevaart,20,,,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.648293,52.380722
Amsterdamsevaart,22,A,,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.648456,52.380703
Amsterdamsevaart,22,B,,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.648328,52.380633
Amsterdamsevaart,22,,,2032EA,Haarlem,Haarlem,Noord-Holland,VBO,4.648360,52.380725
Amsterdamsevaart,24,A,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648552,52.380646
Amsterdamsevaart,24,,RD,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648559,52.380740
Amsterdamsevaart,26,A,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648634,52.380693
Amsterdamsevaart,26,,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648620,52.380760
Amsterdamsevaart,28,,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648749,52.380758
Amsterdamsevaart,30,A,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,B,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,C,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,D,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,E,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,F,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,G,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,H,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,J,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,K,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,L,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,M,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,N,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,O,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,P,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,Q,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648939,52.380767
Amsterdamsevaart,30,,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.648989,52.380774
Amsterdamsevaart,32,,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.649223,52.380793
Amsterdamsevaart,34,A,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.649350,52.380786
Amsterdamsevaart,34,B,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.649351,52.380768
Amsterdamsevaart,34,C,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.649356,52.380753
Amsterdamsevaart,34,,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.649353,52.380811
Amsterdamsevaart,36,A,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.649432,52.380795
Amsterdamsevaart,36,,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.649424,52.380819
Amsterdamsevaart,38,,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.649709,52.380795
Amsterdamsevaart,40,,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.649783,52.380806
Amsterdamsevaart,42,,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.649868,52.380804
Amsterdamsevaart,44,,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.649942,52.380813
Amsterdamsevaart,46,,,2032EB,Haarlem,Haarlem,Noord-Holland,VBO,4.650026,52.380812
Amsterdamsevaart,48,,RD,2032EC,Haarlem,Haarlem,Noord-Holland,VBO,4.650107,52.380822
Amsterdamsevaart,48,,ZW,2032EC,Haarlem,Haarlem,Noord-Holland,VBO,4.650103,52.380849
Amsterdamsevaart,52,,RD,2032EC,Haarlem,Haarlem,Noord-Holland,VBO,4.650235,52.380834
Amsterdamsevaart,54,,RD,2032EC,Haarlem,Haarlem,Noord-Holland,VBO,4.650301,52.380848
Amsterdamsevaart,54,,ZW,2032EC,Haarlem,Haarlem,Noord-Holland,VBO,4.650304,52.380879
Amsterdamsevaart,56,,RD,2032EC,Haarlem,Haarlem,Noord-Holland,VBO,4.650385,52.380846
Amsterdamsevaart,56,,ZW,2032EC,Haarlem,Haarlem,Noord-Holland,VBO,4.650385,52.380875
Amsterdamsevaart,58,,RD,2032EC,Haarlem,Haarlem,Noord-Holland,VBO,4.650467,52.380845
Amsterdamsevaart,58,,ZW,2032EC,Haarlem,Haarlem,Noord-Holland,VBO,4.650456,52.380882
Amsterdamsevaart,60,,RD,2032EC,Haarlem,Haarlem,Noord-Holland,VBO,4.650538,52.380847
Amsterdamsevaart,60,,,2032EC,Haarlem,Haarlem,Noord-Holland,VBO,4.650527,52.380878
Amsterdamsevaart,62,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.650762,52.380896
Amsterdamsevaart,64,A,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.650829,52.380874
Amsterdamsevaart,64,B,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.650828,52.380836
Amsterdamsevaart,64,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.650821,52.380907
Amsterdamsevaart,66,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.650894,52.380906
Amsterdamsevaart,68,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.650964,52.380907
Amsterdamsevaart,70,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.651038,52.380903
Amsterdamsevaart,72,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.651113,52.380910
Amsterdamsevaart,74,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.651187,52.380914
Amsterdamsevaart,76,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.651261,52.380918
Amsterdamsevaart,78,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.651330,52.380921
Amsterdamsevaart,80,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.651399,52.380930
Amsterdamsevaart,82,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.651490,52.380899
Amsterdamsevaart,84,,,2032ED,Haarlem,Haarlem,Noord-Holland,VBO,4.651502,52.380866
Amsterdamsevaart,88,A,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652187,52.381009
Amsterdamsevaart,88,B,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652187,52.381009
Amsterdamsevaart,88,C,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652187,52.381009
Amsterdamsevaart,88,D,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652187,52.381009
Amsterdamsevaart,88,,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652270,52.381023
Amsterdamsevaart,90,A,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652187,52.380991
Amsterdamsevaart,90,B,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652187,52.380991
Amsterdamsevaart,90,C,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652187,52.380991
Amsterdamsevaart,90,D,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652187,52.380991
Amsterdamsevaart,92,A,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652202,52.380974
Amsterdamsevaart,92,B,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652202,52.380974
Amsterdamsevaart,92,C,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652202,52.380974
Amsterdamsevaart,92,D,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652202,52.380974
Amsterdamsevaart,94,A,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652202,52.380947
Amsterdamsevaart,94,B,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652202,52.380947
Amsterdamsevaart,94,C,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652202,52.380947
Amsterdamsevaart,94,D,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652202,52.380947
Amsterdamsevaart,96,A,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652203,52.380929
Amsterdamsevaart,96,B,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652203,52.380929
Amsterdamsevaart,96,C,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652203,52.380929
Amsterdamsevaart,96,D,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652203,52.380929
Amsterdamsevaart,98,A,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652203,52.380902
Amsterdamsevaart,98,B,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652203,52.380902
Amsterdamsevaart,98,C,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652203,52.380902
Amsterdamsevaart,98,D,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652203,52.380902
Amsterdamsevaart,100,,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652159,52.380874
Amsterdamsevaart,102,A,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652363,52.380984
Amsterdamsevaart,102,B,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652436,52.380993
Amsterdamsevaart,102,C,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652525,52.380994
Amsterdamsevaart,102,D,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652598,52.381003
Amsterdamsevaart,102,E,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652671,52.381003
Amsterdamsevaart,102,F,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652745,52.381013
Amsterdamsevaart,102,G,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652833,52.381013
Amsterdamsevaart,102,H,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652906,52.381023
Amsterdamsevaart,102,J,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652994,52.381023
Amsterdamsevaart,104,A,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652364,52.380939
Amsterdamsevaart,104,B,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652452,52.380939
Amsterdamsevaart,104,C,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652525,52.380949
Amsterdamsevaart,104,D,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652599,52.380958
Amsterdamsevaart,104,E,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652687,52.380959
Amsterdamsevaart,104,F,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652760,52.380968
Amsterdamsevaart,104,G,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652848,52.380969
Amsterdamsevaart,104,H,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652921,52.380978
Amsterdamsevaart,104,J,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.652995,52.380978
Amsterdamsevaart,106,,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.653082,52.381024
Amsterdamsevaart,108,,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.653082,52.381024
Amsterdamsevaart,110,,,2032EE,Haarlem,Haarlem,Noord-Holland,VBO,4.653082,52.381024
Amsterdamsevaart,112,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653082,52.381024
Amsterdamsevaart,114,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653082,52.381024
Amsterdamsevaart,116,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653082,52.381024
Amsterdamsevaart,118,A,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653355,52.381035
Amsterdamsevaart,118,B,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653451,52.381035
Amsterdamsevaart,118,C,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653363,52.381005
Amsterdamsevaart,118,D,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653454,52.381011
Amsterdamsevaart,118,E,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653376,52.380985
Amsterdamsevaart,118,F,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653462,52.380989
Amsterdamsevaart,118,G,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653347,52.380981
Amsterdamsevaart,118,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653340,52.381050
Amsterdamsevaart,120,A,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653603,52.381068
Amsterdamsevaart,120,B,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653520,52.381033
Amsterdamsevaart,120,C,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653601,52.381038
Amsterdamsevaart,120,D,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653530,52.381010
Amsterdamsevaart,120,E,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653601,52.381012
Amsterdamsevaart,120,F,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653533,52.380986
Amsterdamsevaart,120,G,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653614,52.380988
Amsterdamsevaart,120,J,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653655,52.381001
Amsterdamsevaart,120,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653458,52.381058
Amsterdamsevaart,122,A,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653731,52.381043
Amsterdamsevaart,122,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653724,52.381064
Amsterdamsevaart,124,A,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653812,52.381063
Amsterdamsevaart,124,B,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653819,52.381049
Amsterdamsevaart,124,C,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653824,52.381030
Amsterdamsevaart,124,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653810,52.381077
Amsterdamsevaart,126,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.653889,52.381083
Amsterdamsevaart,128,,RD,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654119,52.381078
Amsterdamsevaart,128,,ZW,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654119,52.381096
Amsterdamsevaart,130,,RD,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654214,52.381077
Amsterdamsevaart,130,,ZW,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654210,52.381101
Amsterdamsevaart,132,,RD,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654300,52.381081
Amsterdamsevaart,132,,ZW,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654296,52.381107
Amsterdamsevaart,134,,RD,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654400,52.381087
Amsterdamsevaart,134,,ZW,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654388,52.381112
Amsterdamsevaart,136,A,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654488,52.381109
Amsterdamsevaart,136,B,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654495,52.381087
Amsterdamsevaart,136,C,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654496,52.381065
Amsterdamsevaart,138,A,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654570,52.381114
Amsterdamsevaart,138,B,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654577,52.381091
Amsterdamsevaart,138,C,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654591,52.381068
Amsterdamsevaart,138,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654562,52.381136
Amsterdamsevaart,140,A,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654667,52.381115
Amsterdamsevaart,140,B,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654676,52.381095
Amsterdamsevaart,140,C,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654686,52.381075
Amsterdamsevaart,140,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654649,52.381135
Amsterdamsevaart,144,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654814,52.381138
Amsterdamsevaart,146,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654884,52.381141
Amsterdamsevaart,148,,,2032EG,Haarlem,Haarlem,Noord-Holland,VBO,4.654945,52.381147
Amsterdamsevaart,152,,,2032EH,Haarlem,Haarlem,Noord-Holland,VBO,4.655096,52.381158
Amsterdamsevaart,154,,,2032EH,Haarlem,Haarlem,Noord-Holland,VBO,4.655155,52.381162
