openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Denekamperstraat,70,,,7636PA,Agelo,Dinkelland,Overijssel,VBO,6.922690,52.406049
Denekamperstraat,74,,,7636PA,Agelo,Dinkelland,Overijssel,VBO,6.926273,52.405535
Plegtsweg,12,,,7636PB,Agelo,Dinkelland,Overijssel,VBO,6.864608,52.362922
Plegtsweg,13,,,7636PB,Agelo,Dinkelland,Overijssel,VBO,6.866884,52.364251
Plegtsweg,14,,,7636PB,Agelo,Dinkelland,Overijssel,VBO,6.865450,52.363514
Plegtsweg,15,,,7636PB,Agelo,Dinkelland,Overijssel,VBO,6.868023,52.364506
Plegtsweg,20,,,7636PB,Agelo,Dinkelland,Overijssel,VBO,6.872717,52.365239
Aa Broek,1,,NAM,7636PC,Agelo,Dinkelland,Overijssel,VBO,6.905816,52.381133
Aa Broek,1,,,7636PC,Agelo,Dinkelland,Overijssel,VBO,6.867498,52.375614
Aa Broek,1,,,7636PC,Agelo,Dinkelland,Overijssel,VBO,6.867566,52.375609
Aa Broek,5,,,7636PC,Agelo,Dinkelland,Overijssel,VBO,6.899004,52.379531
Aa Broek,7,,,7636PC,Agelo,Dinkelland,Overijssel,VBO,6.902793,52.380381
Aa Broek,9,,,7636PC,Agelo,Dinkelland,Overijssel,VBO,6.903161,52.380403
Alleeweg,8,,,7636PD,Agelo,Dinkelland,Overijssel,VBO,6.910982,52.402811
Alleeweg,10,,,7636PD,Agelo,Dinkelland,Overijssel,VBO,6.912237,52.402957
Dusinksweg,1,,,7636PE,Agelo,Dinkelland,Overijssel,VBO,6.923030,52.403132
Dusinksweg,5,,,7636PE,Agelo,Dinkelland,Overijssel,VBO,6.918360,52.402797
Dusinksweg,6,,,7636PE,Agelo,Dinkelland,Overijssel,VBO,6.916283,52.403111
Dusinksweg,7,,,7636PE,Agelo,Dinkelland,Overijssel,VBO,6.918114,52.402494
Dusinksweg,9,,,7636PE,Agelo,Dinkelland,Overijssel,VBO,6.914106,52.399193
Dusinksweg,11,,,7636PE,Agelo,Dinkelland,Overijssel,VBO,6.906464,52.397907
Dusinksweg,12,,,7636PE,Agelo,Dinkelland,Overijssel,VBO,6.905449,52.398729
Dusinksweg,14,,,7636PE,Agelo,Dinkelland,Overijssel,VBO,6.904560,52.398507
Dusinksweg,15,,,7636PE,Agelo,Dinkelland,Overijssel,VBO,6.904233,52.397969
