openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Leeuwerikstraat,1,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869182,51.948784
Leeuwerikstraat,3,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869158,51.948830
Leeuwerikstraat,5,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869140,51.948873
Leeuwerikstraat,7,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869123,51.948919
Leeuwerikstraat,9,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869103,51.948964
Leeuwerikstraat,11,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869086,51.949009
Leeuwerikstraat,13,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869066,51.949051
Leeuwerikstraat,15,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869034,51.949128
Leeuwerikstraat,17,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869016,51.949173
Leeuwerikstraat,19,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.868991,51.949218
Leeuwerikstraat,21,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.868973,51.949258
Leeuwerikstraat,23,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.868951,51.949303
Leeuwerikstraat,25,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.868925,51.949345
Leeuwerikstraat,27,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.868902,51.949396
Leeuwerikstraat,29,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.868829,51.949557
Leeuwerikstraat,31,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.868902,51.949571
Leeuwerikstraat,33,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.868977,51.949582
Leeuwerikstraat,35,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869054,51.949595
Leeuwerikstraat,37,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869127,51.949609
Leeuwerikstraat,39,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869202,51.949620
Leeuwerikstraat,41,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869282,51.949634
Leeuwerikstraat,43,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869358,51.949645
Leeuwerikstraat,45,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869431,51.949657
Leeuwerikstraat,47,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869759,51.949664
Leeuwerikstraat,49,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869831,51.949672
Leeuwerikstraat,51,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869911,51.949687
Leeuwerikstraat,53,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869989,51.949702
Leeuwerikstraat,55,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.870062,51.949712
Leeuwerikstraat,57,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.870137,51.949725
Leeuwerikstraat,59,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.870206,51.949738
Leeuwerikstraat,61,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.870287,51.949752
Leeuwerikstraat,63,,,2872AA,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.870365,51.949762
Tapuitstraat,1,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869430,51.949461
Tapuitstraat,3,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869447,51.949418
Tapuitstraat,5,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869466,51.949370
Tapuitstraat,7,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869489,51.949321
Tapuitstraat,9,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869510,51.949277
Tapuitstraat,11,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869531,51.949232
Tapuitstraat,13,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869577,51.949153
Tapuitstraat,15,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869600,51.949106
Tapuitstraat,17,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869621,51.949060
Tapuitstraat,19,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869644,51.949013
Tapuitstraat,21,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869662,51.948968
Tapuitstraat,23,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869679,51.948920
Tapuitstraat,25,,,2872AB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869697,51.948875
Eksterstraat,1,,,2872AJ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869438,51.948224
Eksterstraat,3,,,2872AJ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869512,51.948237
Eksterstraat,5,,,2872AJ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869590,51.948248
Eksterstraat,7,,,2872AJ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869666,51.948259
Eksterstraat,9,,,2872AJ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869739,51.948271
Eksterstraat,11,,,2872AJ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869815,51.948282
Eksterstraat,13,,,2872AJ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869893,51.948295
Eksterstraat,15,,,2872AJ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869971,51.948306
Eksterstraat,17,,,2872AJ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.870054,51.948319
Fazantstraat,2,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869816,51.947932
Fazantstraat,4,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869841,51.947883
Fazantstraat,6,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869858,51.947843
Fazantstraat,8,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869874,51.947795
Fazantstraat,10,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869895,51.947745
Fazantstraat,12,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869915,51.947702
Fazantstraat,14,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869927,51.947659
Fazantstraat,16,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869963,51.947589
Fazantstraat,18,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.869980,51.947546
Fazantstraat,20,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.870002,51.947499
Fazantstraat,22,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.870018,51.947453
Fazantstraat,24,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.870037,51.947403
Fazantstraat,26,,,2872AK,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.870061,51.947357
Merellaan,1,,,2872AM,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
Merellaan,3,,,2872AM,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
Merellaan,5,,,2872AM,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
Merellaan,7,,,2872AM,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,1,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,3,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,5,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,7,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,9,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,11,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,13,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,15,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,17,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,19,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,21,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,23,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,25,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,27,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,29,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,31,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,33,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,35,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,37,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,39,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,41,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,43,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
De Mees,45,,,2872AN,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871356,51.946254
Gansstraat,4,,,2872BB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871405,51.943716
Gansstraat,6,,,2872BB,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.871534,51.943531
Parelhoenhof,2,,,2872BC,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.872288,51.943955
Parelhoenhof,4,,,2872BC,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.872356,51.943818
Parelhoenhof,6,,,2872BC,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.872572,51.943657
Parelhoenhof,8,,,2872BC,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.872645,51.943503
Parelhoenhof,9,,,2872BC,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.873123,51.943148
Parelhoenhof,10,,,2872BC,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.872691,51.943346
Parelhoenhof,14,,,2872BC,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.872955,51.943738
De Smaragd,7,,,2872ZT,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.863489,51.950714
Platinastraat,8,a,,2872ZX,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.861811,51.949655
Platinastraat,8,b,,2872ZX,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.861697,51.949645
Platinastraat,8,c,,2872ZX,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.861564,51.949631
Platinastraat,8,d,,2872ZX,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.861445,51.949618
Platinastraat,8,e,,2872ZX,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.861338,51.949590
Platinastraat,8,f,,2872ZX,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.861184,51.949562
Platinastraat,8,h,,2872ZX,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.861154,51.949699
Platinastraat,8,j,,2872ZX,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.861306,51.949719
Platinastraat,8,k,,2872ZX,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.861413,51.949733
Platinastraat,8,m,,2872ZX,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.861532,51.949743
Platinastraat,8,n,,2872ZX,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.861747,51.949779
De Diamant,2,,,2872ZZ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.860824,51.949253
De Diamant,4,,,2872ZZ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.860824,51.949253
De Diamant,10,,,2872ZZ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.862676,51.949566
De Diamant,12,,,2872ZZ,Schoonhoven,Krimpenerwaard,Zuid-Holland,VBO,4.863802,51.949980
