openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Oostzanerdijk,176,,,1037RK,Amsterdam,Amsterdam,Noord-Holland,VBO,4.864895,52.430375
Oostzanerdijk,180,,,1037RK,Amsterdam,Amsterdam,Noord-Holland,VBO,4.864574,52.430176
Oostzanerdijk,184,,,1037RK,Amsterdam,Amsterdam,Noord-Holland,VBO,4.863957,52.430129
Zijkanaal H-weg,1,A,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.862891,52.429589
Zijkanaal H-weg,1,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.862840,52.429176
Zijkanaal H-weg,2,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.862826,52.428963
Zijkanaal H-weg,3,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.862812,52.428797
Zijkanaal H-weg,4,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.862688,52.428691
Zijkanaal H-weg,5,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.862581,52.428574
Zijkanaal H-weg,6,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.862410,52.428435
Zijkanaal H-weg,7,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.862267,52.428319
Zijkanaal H-weg,8,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.862128,52.428194
Zijkanaal H-weg,9,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.861968,52.428052
Zijkanaal H-weg,10,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.861806,52.427925
Zijkanaal H-weg,11,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.861679,52.427772
Zijkanaal H-weg,12,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.861531,52.427637
Zijkanaal H-weg,13,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.861402,52.427520
Zijkanaal H-weg,14,,,1037RP,Amsterdam,Amsterdam,Noord-Holland,LIG,4.861236,52.427403
