openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Aalsumerweg,1,a,,9883PA,Oldehove,Zuidhorn,Groningen,VBO,6.392085,53.304626
Aalsumerweg,1,b,,9883PA,Oldehove,Zuidhorn,Groningen,VBO,6.391507,53.304697
Aalsumerweg,1,c,,9883PA,Oldehove,Zuidhorn,Groningen,VBO,6.391247,53.304744
Aalsumerweg,1,,,9883PA,Oldehove,Zuidhorn,Groningen,VBO,6.393801,53.304917
Aalsumerweg,2,,,9883PA,Oldehove,Zuidhorn,Groningen,VBO,6.393842,53.305348
Aalsumerweg,4,,,9883PA,Oldehove,Zuidhorn,Groningen,VBO,6.393556,53.305332
Englumerweg,2,,,9883PB,Oldehove,Zuidhorn,Groningen,VBO,6.394858,53.305195
Englumerweg,6,a,,9883PB,Oldehove,Zuidhorn,Groningen,VBO,6.395007,53.305805
Englumerweg,6,,,9883PB,Oldehove,Zuidhorn,Groningen,VBO,6.394820,53.305492
Englumstraat,1,,,9883PC,Oldehove,Zuidhorn,Groningen,VBO,6.395279,53.305237
Englumstraat,3,,,9883PC,Oldehove,Zuidhorn,Groningen,VBO,6.395532,53.305145
Englumstraat,5,a,,9883PC,Oldehove,Zuidhorn,Groningen,VBO,6.396070,53.305077
Englumstraat,5,,,9883PC,Oldehove,Zuidhorn,Groningen,VBO,6.395772,53.305143
Englumstraat,7,,,9883PC,Oldehove,Zuidhorn,Groningen,VBO,6.396519,53.305020
Englumstraat,9,,,9883PC,Oldehove,Zuidhorn,Groningen,VBO,6.396939,53.304998
Englumstraat,11,,,9883PC,Oldehove,Zuidhorn,Groningen,VBO,6.397417,53.304922
Englumstraat,13,,,9883PC,Oldehove,Zuidhorn,Groningen,VBO,6.397611,53.304885
Englumstraat,15,,,9883PC,Oldehove,Zuidhorn,Groningen,VBO,6.397895,53.304855
Englumstraat,17,,,9883PC,Oldehove,Zuidhorn,Groningen,VBO,6.398163,53.304763
