openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Bovenweg,31,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.177539,52.953130
Bovenweg,33,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.176633,52.952686
Bovenweg,35,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.175478,52.952181
Bovenweg,37,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.171860,52.951048
Bovenweg,39,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.178919,52.946675
Bovenweg,41,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.171340,52.950666
Bovenweg,43,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.170690,52.950446
Bovenweg,45,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.169048,52.949898
Bovenweg,47,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.167346,52.949059
Bovenweg,56,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.182949,52.955629
Bovenweg,58,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.175846,52.952858
Bovenweg,60,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.169537,52.950741
Bovenweg,62,,,8422DE,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.167351,52.949883
Bovenweg,21,,,8422DG,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.187005,52.957066
Bovenweg,23,,,8422DG,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.184790,52.955823
Bovenweg,25,,,8422DG,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.184310,52.955276
Bovenweg,27,,,8422DG,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.182278,52.954909
Bovenweg,29,,TR01,8422DG,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.181404,52.954205
Bovenweg,29,,,8422DG,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.181172,52.954199
Bovenweg,40,,,8422DG,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.184770,52.956403
Bovenweg,50,,,8422DG,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.183486,52.955869
Bovenweg,52,,,8422DG,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.183312,52.955787
Bovenweg,54,,,8422DG,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.183133,52.955708
Bovenweg,15,,,8422DH,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.191070,52.958905
Bovenweg,17,,,8422DH,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.190404,52.958464
Bovenweg,22,,,8422DH,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.187167,52.957705
Bovenweg,24,,,8422DH,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.186889,52.957336
Bovenweg,26,,,8422DH,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.186557,52.957185
Bovenweg,30,,,8422DH,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.185831,52.956844
Bovenweg,32,,,8422DH,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.185463,52.956833
Bovenweg,34,A,,8422DH,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.184833,52.957113
Bovenweg,34,,,8422DH,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.185362,52.956665
Bovenweg,36,,,8422DH,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.185192,52.956591
Bovenweg,38,,,8422DH,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.184995,52.956501
Frankrijk,2,,,8422DJ,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.194707,52.955547
Frankrijk,3,,,8422DJ,Nijeberkoop,Ooststellingwerf,Friesland,VBO,6.195786,52.954771
