openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Ketting,1,,,8466NP,Nijehaske,Skarsterlân,Friesland,VBO,5.904682,52.955401
Ketting,3,,,8466NP,Nijehaske,Skarsterlân,Friesland,VBO,5.904723,52.955745
Jousterweg,1,,,8466RD,Nijehaske,Skarsterlân,Friesland,VBO,5.894619,52.961474
Jousterweg,3,,,8466RD,Nijehaske,Skarsterlân,Friesland,VBO,5.895336,52.961678
Jousterweg,7,,,8466RD,Nijehaske,Skarsterlân,Friesland,VBO,5.897426,52.962307
Jousterweg,2,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.893345,52.960734
Jousterweg,4,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.893465,52.960760
Jousterweg,6,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.893539,52.960787
Jousterweg,8,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.893614,52.960804
Jousterweg,10,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.893704,52.960831
Jousterweg,12,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.893838,52.960866
Jousterweg,14,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.893942,52.960893
Jousterweg,16,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.894330,52.960990
Jousterweg,18,a,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.894867,52.961078
Jousterweg,18,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.894599,52.961043
Jousterweg,20,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.895391,52.961300
Jousterweg,22,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.895645,52.961371
Jousterweg,24,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.896197,52.961512
Jousterweg,26,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.896495,52.961592
Jousterweg,30,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.896615,52.961618
Jousterweg,32,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.896779,52.961690
Jousterweg,34,,,8466RE,Nijehaske,Skarsterlân,Friesland,VBO,5.897048,52.961787
Businesspark Friesland-West,1,a,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.896027,52.963544
Businesspark Friesland-West,1,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.896211,52.962752
Businesspark Friesland-West,3,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.895863,52.963680
Businesspark Friesland-West,5,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.895819,52.963854
Businesspark Friesland-West,7,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.895745,52.963997
Businesspark Friesland-West,9,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.894958,52.965031
Businesspark Friesland-West,13,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.893602,52.966205
Businesspark Friesland-West,15,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892647,52.965967
Businesspark Friesland-West,19,a,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892567,52.964224
Businesspark Friesland-West,19,b,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892687,52.964259
Businesspark Friesland-West,19,c,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892904,52.964328
Businesspark Friesland-West,19,d,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.893045,52.964356
Businesspark Friesland-West,21,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892812,52.964771
Businesspark Friesland-West,23,a,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892445,52.965276
Businesspark Friesland-West,23,b,0001,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892204,52.965352
Businesspark Friesland-West,23,b,0002,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892074,52.965317
Businesspark Friesland-West,23,b,0003,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.891944,52.965285
Businesspark Friesland-West,23,b,0004,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.891816,52.965254
Businesspark Friesland-West,23,b,0005,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.891695,52.965214
Businesspark Friesland-West,23,b,0006,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.891713,52.965186
Businesspark Friesland-West,23,b,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892328,52.965384
Businesspark Friesland-West,23,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892533,52.965113
Businesspark Friesland-West,27,a,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890708,52.965633
Businesspark Friesland-West,27,b,II,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890491,52.965539
Businesspark Friesland-West,27,b,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890977,52.965695
Businesspark Friesland-West,27,c,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.891182,52.965425
Businesspark Friesland-West,27,d,I,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890925,52.965337
Businesspark Friesland-West,27,d,II,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890936,52.965324
Businesspark Friesland-West,27,d,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890913,52.965354
Businesspark Friesland-West,27,e,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890659,52.965274
Businesspark Friesland-West,27,f,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890908,52.964932
Businesspark Friesland-West,27,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890440,52.965572
Businesspark Friesland-West,29,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.891143,52.964616
Businesspark Friesland-West,31,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.891392,52.964319
Businesspark Friesland-West,33,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.891865,52.964020
Businesspark Friesland-West,35,a,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890973,52.964069
Businesspark Friesland-West,35,b,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890899,52.964159
Businesspark Friesland-West,35,,0001,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890901,52.963827
Businesspark Friesland-West,35,,0002,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890866,52.963867
Businesspark Friesland-West,35,,0003,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890845,52.963902
Businesspark Friesland-West,35,,0004,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890818,52.963930
Businesspark Friesland-West,35,,0005,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890788,52.963963
Businesspark Friesland-West,35,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890984,52.963772
Businesspark Friesland-West,37,a,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890487,52.964511
Businesspark Friesland-West,37,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890678,52.964268
Businesspark Friesland-West,41,g,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890030,52.964908
Businesspark Friesland-West,41,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890093,52.965169
Businesspark Friesland-West,45,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890007,52.964199
Businesspark Friesland-West,47,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.890524,52.963683
Businesspark Friesland-West,51,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.891362,52.962935
Businesspark Friesland-West,53,a,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892900,52.963378
Businesspark Friesland-West,53,,0001,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892200,52.963055
Businesspark Friesland-West,53,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.892123,52.963147
Businesspark Friesland-West,55,b,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.893200,52.963628
Businesspark Friesland-West,55,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.893392,52.963519
Businesspark Friesland-West,57,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.894393,52.963839
Businesspark Friesland-West,59,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.895156,52.964177
Businesspark Friesland-West,61,,,8466SL,Nijehaske,Skarsterlân,Friesland,VBO,5.895491,52.964212
Eurolaan,2,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.885406,52.971838
Eurolaan,3,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884604,52.971976
Eurolaan,4,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.885230,52.972028
Eurolaan,5,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884443,52.972229
Eurolaan,6,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.885098,52.972235
Eurolaan,7,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884311,52.972445
Eurolaan,8,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884923,52.972514
Eurolaan,9,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.883973,52.972833
Eurolaan,10,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884720,52.972982
Eurolaan,11,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.883827,52.973058
Eurolaan,12,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884603,52.973172
Eurolaan,13,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.883741,52.973355
Eurolaan,14,,0001,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884323,52.973532
Eurolaan,14,,0002,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884386,52.973548
Eurolaan,14,,0003,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884461,52.973568
Eurolaan,14,,0004,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884547,52.973588
Eurolaan,14,,0005,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884633,52.973605
Eurolaan,14,,0006,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884376,52.973414
Eurolaan,14,,0007,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884451,52.973433
Eurolaan,14,,0008,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884538,52.973452
Eurolaan,14,,0009,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884623,52.973474
Eurolaan,14,,0010,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884710,52.973497
Eurolaan,14,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.884336,52.973477
Eurolaan,15,,,8466SM,Nijehaske,Skarsterlân,Friesland,VBO,5.883668,52.973481
Innovatielaan,1,,0001,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.889399,52.968935
Innovatielaan,1,,0002,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.890376,52.969235
Innovatielaan,1,,0003,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.889218,52.969557
Innovatielaan,1,,0004,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.890450,52.969802
Innovatielaan,1,,0005,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.887880,52.969909
Innovatielaan,1,,0006,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.889256,52.970395
Innovatielaan,1,,,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.889973,52.968805
Innovatielaan,2,,,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.887609,52.967929
Innovatielaan,3,,,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.886702,52.967773
Innovatielaan,5,a,,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885751,52.968170
Innovatielaan,5,b,,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885721,52.968162
Innovatielaan,5,c,,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885691,52.968162
Innovatielaan,5,,0001,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885541,52.968405
Innovatielaan,5,,0002,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885563,52.968356
Innovatielaan,5,,0004,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885667,52.968385
Innovatielaan,5,,0005,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885661,52.968376
Innovatielaan,5,,0006,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885699,52.968448
Innovatielaan,5,,0007,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885774,52.968409
Innovatielaan,5,,0008,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885802,52.968474
Innovatielaan,5,,0009,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885858,52.968425
Innovatielaan,5,,0010,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885894,52.968496
Innovatielaan,5,,0011,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885982,52.968457
Innovatielaan,5,,0012,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885991,52.968516
Innovatielaan,5,,0013,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.886095,52.968476
Innovatielaan,5,,0014,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.886070,52.968537
Innovatielaan,5,,0015,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.886174,52.968557
Innovatielaan,5,,0016,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.886201,52.968499
Innovatielaan,5,,0017,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885651,52.968233
Innovatielaan,5,,0018,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885761,52.968258
Innovatielaan,5,,0019,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885831,52.968200
Innovatielaan,5,,0020,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885874,52.968283
Innovatielaan,5,,0021,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885960,52.968240
Innovatielaan,5,,0022,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885990,52.968315
Innovatielaan,5,,0023,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.886068,52.968273
Innovatielaan,5,,0024,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.886105,52.968342
Innovatielaan,5,,003a,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885621,52.968435
Innovatielaan,5,,003b,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885626,52.968426
Innovatielaan,5,,,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885781,52.968170
Innovatielaan,6,a,,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885371,52.968756
Innovatielaan,6,b,,8466SN,Nijehaske,Skarsterlân,Friesland,VBO,5.885431,52.968774
