openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Zandheining,1,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.954542,51.492803
Zandheining,2,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.955331,51.493129
Zandheining,3,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.954912,51.493245
Zandheining,4,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.955545,51.493373
Zandheining,5,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.955097,51.493551
Zandheining,6,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.956060,51.493662
Zandheining,7,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.955438,51.493948
Zandheining,8,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.956537,51.493520
Zandheining,9,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.955753,51.494165
Zandheining,11,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.956403,51.493933
Zandheining,13,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.956693,51.493800
Zandheining,15,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.957126,51.493639
Zandheining,17,,,5131AA,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.957472,51.493614
Zandstraat,1,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952905,51.484788
Zandstraat,3,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952904,51.484878
Zandstraat,5,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952874,51.485048
Zandstraat,7,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952809,51.485785
Zandstraat,9,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952865,51.485992
Zandstraat,11,a,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952905,51.486262
Zandstraat,11,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952892,51.486154
Zandstraat,13,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952959,51.486667
Zandstraat,15,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952827,51.486954
Zandstraat,19,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952491,51.487411
Zandstraat,21,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.951983,51.487832
Zandstraat,23,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.951607,51.489556
Zandstraat,25,,,5131AB,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.951606,51.489628
Zandstraat,2,,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.953149,51.484897
Zandstraat,4,,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.953148,51.484959
Zandstraat,6,a,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.954411,51.485405
Zandstraat,6,b,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.953243,51.485571
Zandstraat,6,,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.953261,51.485239
Zandstraat,7,a,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952034,51.485567
Zandstraat,8,a,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.953224,51.486011
Zandstraat,8,b,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.953238,51.486074
Zandstraat,8,c,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.953251,51.486209
Zandstraat,8,,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.953211,51.485868
Zandstraat,10,,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.953220,51.486443
Zandstraat,12,,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.953288,51.486848
Zandstraat,14,,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.953342,51.487315
Zandstraat,16,,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952848,51.487700
Zandstraat,18,,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952311,51.488138
Zandstraat,22,,,5131AC,Alphen,Alphen-Chaam,Noord-Brabant,VBO,4.952458,51.490898
