openbareruimtenaam,huisnummer,huisletter,huisnummertoevoeging,postcode,woonplaatsnaam,gemeentenaam,provincienaam,typeadresseerbaarobject,longitude,latitude
Platteweg,1,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.807412,51.423474
Platteweg,2,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.809002,51.423712
Platteweg,3,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.807564,51.423524
Platteweg,4,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.815275,51.426155
Platteweg,5,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.807707,51.423579
Platteweg,7,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.807833,51.423634
Platteweg,9,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.807964,51.423686
Platteweg,11,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.808215,51.423802
Platteweg,13,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.808380,51.423870
Platteweg,15,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.809941,51.424443
Platteweg,17,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.810199,51.424567
Platteweg,19,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.809939,51.424925
Platteweg,21,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.809334,51.425220
Platteweg,23,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.808856,51.425503
Platteweg,25,A,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.808264,51.425792
Platteweg,25,B,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.808095,51.425896
Platteweg,25,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.808379,51.425723
Platteweg,27,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.811212,51.424937
Platteweg,29,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.811393,51.425020
Platteweg,31,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.811521,51.425043
Platteweg,33,A,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.814366,51.426267
Platteweg,33,B,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.815468,51.426712
Platteweg,33,C,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.816319,51.426937
Platteweg,33,,,4438AA,Driewegen,Borsele,Zeeland,VBO,3.812712,51.425584
Wolfhoekseweg,1,,,4438AB,Driewegen,Borsele,Zeeland,VBO,3.809574,51.425523
Wolfhoekseweg,2,,,4438AB,Driewegen,Borsele,Zeeland,VBO,3.810389,51.425565
Wolfhoekseweg,4,A,,4438AB,Driewegen,Borsele,Zeeland,VBO,3.808358,51.427763
Wolfhoekseweg,4,,,4438AB,Driewegen,Borsele,Zeeland,VBO,3.809112,51.427366
Wolfhoekseweg,5,,,4438AB,Driewegen,Borsele,Zeeland,VBO,3.807882,51.426679
Korteweg,1,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.806437,51.421179
Korteweg,2,A,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.806609,51.421009
Korteweg,2,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.806569,51.420953
Korteweg,3,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.806597,51.421355
Korteweg,4,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.806926,51.421167
Korteweg,5,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.806645,51.421445
Korteweg,6,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.806978,51.421236
Korteweg,7,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.806724,51.421547
Korteweg,8,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.807303,51.421478
Korteweg,9,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.806872,51.421716
Korteweg,10,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.807711,51.421328
Korteweg,11,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.806943,51.421856
Korteweg,13,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.807051,51.421991
Korteweg,15,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.807128,51.422109
Korteweg,17,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.807108,51.422281
Korteweg,19,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.807117,51.422501
Korteweg,21,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.807344,51.422517
Korteweg,23,,,4438AC,Driewegen,Borsele,Zeeland,VBO,3.807473,51.422904
